INSERT INTO Aluno (Name, Email, Senha) VALUES
('VrFkjkh yT6f','172@mail.com','12qnSr9bDfhz5muUdMp7'),
('pciotcY VApV','173@mail.com','QzmpiKtfzC74cNEoJHPv'),
('crQXnzz RrzX','174@mail.com','oDoNfFjKATqQw2wkx48O'),
('lJ5hW0O 7hju','175@mail.com','odfEmKgp7KObhsapLiIn'),
('Dn6j17Y GURU','176@mail.com','4EttR8BobIJ1HWKGZl8J'),
('wjeNuqV BgOp','177@mail.com','5wCtRECDwx4CXE6tZiyh'),
('2rwA4Nk DjCy','178@mail.com','BwFG6LCEuJVHXvC7aPdY'),
('iuIkKfC Ass5','179@mail.com','wSsCbowN94fhvrSLlAMQ'),
('0zeSsGA gwlT','180@mail.com','AV6L4aRh1ixaFP3d95tY'),
('7CgmS3c t5Ii','181@mail.com','KQmobIjJnAv6nNhqUdz3'),
('ojvQVxq WqEV','182@mail.com','o62Uc0npoWoPopVAY7gy'),
('PgN5kcF cYaY','183@mail.com','9sDqJRXaTm3aCuFGrrSX'),
('tCLZYbD ZO4L','184@mail.com','U4FtmEczvnD9sKSDg4w3'),
('3Zpsya8 sjDT','185@mail.com','6HsCoTvl6C4TZ0fAdOdM'),
('8JNrZui elZq','186@mail.com','a6m8hDKHY7cz0ChWbzNH'),
('reDTozu 31KP','187@mail.com','4bYqasOxDYkoXbknIfwX'),
('glaAo7S 0X4l','188@mail.com','ViQAeDRjITU3lGmpAmbl'),
('a7h0ysc P76U','189@mail.com','jwX8Xid4VZqTZGZad76f'),
('aeVwx58 U1pA','190@mail.com','0Jz3f64fi21Gx2LUMlYz'),
('Qrjmogq VR5U','191@mail.com','S3QxOheUXCaEo8877nE1'),
('fZAmkyv DZOj','192@mail.com','F2KX77pVRbizAWP7FlCZ'),
('gwOs29x hbIF','193@mail.com','rrDFSgtCV8d7AOq3iXzu'),
('maIFqTM IBe8','194@mail.com','GkhisI2msMSX6eYyggda'),
('ecdGKpX 5x9K','195@mail.com','SN3ULTDTFaMedqBcSP6Q'),
('MQYoHkw l0rm','196@mail.com','hh8eBGpOTjIMSadIEYOr'),
('HJckMst kIYu','197@mail.com','w2q9hz6Rb8F4zQc21RHo'),
('3bxlSPp qtSa','198@mail.com','1nRgfhDYZJIiI2ZhNZVF'),
('HCl9qp3 NmnK','199@mail.com','c3D2je3WrTGALkrFqgJU'),
('9JYxlMQ hGEE','200@mail.com','E1Gb3o0ZvqQzKd20yMq6'),
('M11hUAG JJrX','201@mail.com','jKuvlImxIHOb7uQZBtQH'),
('4KCiDM7 Tb9f','202@mail.com','ZpYbpHN4bDNJGwG3WaCz'),
('np60idh o8Z6','203@mail.com','YTvhrvgkV7zogypCgacW'),
('6iveJMF YTth','204@mail.com','79hb6SXMyGsB5x1jj87U'),
('V54A9Y8 u0CJ','205@mail.com','qz8iooCu2wdyOQxajce0'),
('rYLDRZS hg0H','206@mail.com','7eWTcKeUlTHlxa6EHaAk'),
('4yakEnc WDGG','207@mail.com','I9TsUjvzKlnk9NbDbul9'),
('snVWZAB hPSl','208@mail.com','3rDBVWIrEv4oo618AGY1'),
('oMQYOha cISp','209@mail.com','bCSIIcMPeMFnRAeVYK3q'),
('t01ZeNK 6rnm','210@mail.com','QCanVJ8O2uWYyhvnCMqv'),
('SWAIAxG My0u','211@mail.com','x7grbQVydctvu44wNm9X'),
('yoEKDUn 0uGe','212@mail.com','BM3PxcrazX6ijXsXxH0P'),
('GuOj6OE ZLAz','213@mail.com','5zLCrNGSz3UNqVz1W5bG'),
('5B39exc kAgY','214@mail.com','9Cq6BCo0Rqln66NP566j'),
('7KLZ99Y opB8','215@mail.com','RcWcrSHlvKvsdJKYeLS4'),
('D4zWipl LdJC','216@mail.com','oZKP2bn89J5L0TnjO6Ib'),
('4A8rig8 CQ8T','217@mail.com','H3STyTO191BpeMmAsJra'),
('qJkj5lh q1ft','218@mail.com','NkdTUfdqdfvu8vq6O4up'),
('rM3JLDa SKvJ','219@mail.com','ERmrCZgTXJhaPbCh8TeD'),
('qttohHq yjOB','220@mail.com','XQcYPRCiMFTGl98k7j1Y'),
('sQDLa47 To12','221@mail.com','4YROUexJYb3BIeAqDyTi'),
('4O8ABHZ NHlv','222@mail.com','jcoVnhya8BppUehytM68'),
('PmpuIU4 OIMp','223@mail.com','TBcJDxfMJWezlvCylCnc'),
('TBn041r IHEq','224@mail.com','wqZShQ4PT5bSDOrVNvkn'),
('xyC2VGA dQ5C','225@mail.com','TkxZLyZf8RYsVGlrCy9L'),
('BnnV7U2 iRvv','226@mail.com','hcmtQz1e9BvLLz0YTWKL'),
('xAdFqtj GMbu','227@mail.com','RefV868xMAvTwV64e5js'),
('7JOmIMt o4Sx','228@mail.com','YCesn87tGKclwoOIwbxW'),
('0Luuc1E ZmZG','229@mail.com','6q32kmwyK545svy4gjf6'),
('IfNMORh OQlG','230@mail.com','NtavuJrEA2jMzpzW9t4J'),
('h8EOgRJ ejQJ','231@mail.com','qvlB2rH7chTwalnUS0r6'),
('r5mBcw7 xSTV','232@mail.com','60MCAhVn9ITgh5KWWEHS'),
('YgXgTQ8 Wsra','233@mail.com','tt2Op3qxkENGSNyv7uqO'),
('cXkxRsR I7XT','234@mail.com','wW8f6BXCG6XGn20umOkK'),
('RV61Q6K IXjc','235@mail.com','uvSgBTi8vwONokVxVSmm'),
('rQrx4dk DkAa','236@mail.com','yxau3jXiPLW38mloZoKJ'),
('weKmJh8 GYWt','237@mail.com','vHMCMoab2ys5RXjyOKne'),
('hwo2bpQ HV66','238@mail.com','tErbbVcWMg3fiogeKK7C'),
('7hvNN2x xvhT','239@mail.com','sWdQCik9yt3YO9lgpHCi'),
('L7n0AGV Npha','240@mail.com','QJ1YqKIa4uAqVZWC33wj'),
('gnVLMHy uK5G','241@mail.com','6FGyPpRmU4BndEsz22Ie'),
('WBTZStb 5tWY','242@mail.com','WUjyLfw0Qr1JNsSn1KU4'),
('03FaHfj hA2Q','243@mail.com','kHi5zE58smSfcEyFIFO5'),
('urAGYKO CtFi','244@mail.com','0A5hRN9J2sMpd3KwLmkA'),
('BRWg3WA jf83','245@mail.com','r3uLMutVvAsi6M1c0zKx'),
('nEtxWN9 mS3z','246@mail.com','SIknreryzoxStpDQPwDM'),
('0WpaLak v2E7','247@mail.com','VjXbvoeIby0oQlU5tO8g'),
('SLZ3MXO P2mR','248@mail.com','NNMlA5tROwFZJvAMbCpO'),
('WqVo3K5 UoSw','249@mail.com','fbdUbqOdGXh67ThvHQyZ'),
('rFYgYiI g3Dn','250@mail.com','geYyYw9tTiPFwgiesFaG'),
('9sv9jvp 9Cnw','251@mail.com','Ch5ALGDkrvBoArg5DpRv'),
('x4UipJw mdMO','252@mail.com','kQADpvqRmAf4gRHS0uiZ'),
('BFQwvcR XNDV','253@mail.com','7HumotCQdCQrVNuIjjev'),
('VTNRBro 7bEL','254@mail.com','cretSAGxq6HUxB6aTIG8'),
('HUgBn2f 4S5M','255@mail.com','GkJERjMjwGNWhEtvBmCd'),
('IlqdsLN DfuI','256@mail.com','agluwOfEG5ZUkQOOzyns'),
('kBWT4yZ GVWF','257@mail.com','raBDaV3Fnrjuy5zrmbQb'),
('N2fUdk7 itI4','258@mail.com','dkPT3gQW9Qy0sONrzxv8'),
('thIDAZf XoEH','259@mail.com','5G1uSEKfxB9Tts0Ki3ei'),
('UqZ8pXi cgEZ','260@mail.com','ssmgImrlDUsuVt3ZxrQ1'),
('WJ7nc9I 4b4K','261@mail.com','duo4KmpkuTk8C50AoOx3'),
('c8gMLT5 YGLl','262@mail.com','UScIbMVTkdY6QwfCqKFW'),
('zgknJSH ivr1','263@mail.com','7i7kQj0vJLNVuep8SK9x'),
('qcfW80r rJKg','264@mail.com','IYPNT9JNbhqcZgh550Tt'),
('zjmkMzM 54H7','265@mail.com','UDEx80PubfUnQsmnr7Vx'),
('t7qpRTP qrc7','266@mail.com','2x4TUwblo0ro7d6WYUZh'),
('udwbFIi Wu8t','267@mail.com','xmy1kEE3YenXaRYP45FO'),
('p2c1MpR Wx3N','268@mail.com','1pHg4yRbfPGDarRXF5Qm'),
('cETvOBK YyoC','269@mail.com','BFmWps8DhaZBuqPkNirR'),
('kQzF5BG SaLs','270@mail.com','etgCGNdVgZijIgGxfsBq'),
('fyzI4GP iSty','271@mail.com','c0WQjI7u3RVmKbGstDfy'),
('QNhJOhw cBh0','272@mail.com','8xH0MHwgxY5rQ2AFHMRJ'),
('NmhJY6t V2Bw','273@mail.com','LtTrM4dBoV2KezftrJVG'),
('MWEcWxW UmLV','274@mail.com','7v7N8vdA4X3YD5Qs8MtB'),
('y4vy0b7 D9r1','275@mail.com','BKBFYBgctCOADA2d3waY'),
('1D6R7pM m1BS','276@mail.com','Iqi00xANZqXNBjkJ0RwK'),
('HQ9gDlX QLsx','277@mail.com','sJEY1SfcOSYlPfJYL0zJ'),
('K9yfJ9D wyzL','278@mail.com','hVsFnGXgflHXx40d0739'),
('AERznsx Mi6E','279@mail.com','fbC4Rur5knEzCcnxMTLo'),
('NJv5qR4 Qbr0','280@mail.com','PTchrJHb0K5RAzLsMdkX'),
('yHkb8aO rpSH','281@mail.com','hVPffhXqhfwk1x6nq6LQ'),
('I6O6WPg E7HT','282@mail.com','FFhTEruLqjcQAHNpH5EQ'),
('D6Z2ekC Hd9K','283@mail.com','4e7Brl2Dqper9Wmyqj1h'),
('rt9PQ56 a6dw','284@mail.com','sqSvC0zK11blidEMvy84'),
('fvpg0Aj ILv8','285@mail.com','0CzmKZiBglR5okxhgkCH'),
('dBGiofB KaNh','286@mail.com','nlUVUAtKt0IoPmduBWZb'),
('pqv3IHg lOns','287@mail.com','0E0mZjIHeEqOoFp9ls1j'),
('jcX4nVw k6kw','288@mail.com','F9BFet04cqgomfZTHUX6'),
('9NZs6ue 3lcB','289@mail.com','PuDQsAM5ssryutrkqWjR'),
('6BG5h37 BDP1','290@mail.com','fdnrWPeQoDUQAyP2hV9S'),
('KCplCAV 3d4f','291@mail.com','SAUI1H5bStTWgdgXvLvK'),
('ZnG7bqy hGjg','292@mail.com','1vxAiiOXQlZwszBuLFQa'),
('CmwY7Dk mAdo','293@mail.com','dWzkhMW5XxuAVRc2d9pA'),
('PSRv13Y irhV','294@mail.com','a4oHYxkguTbIztAhfDsH'),
('HI1HrMm srsC','295@mail.com','TCtamoPyUvoqdISHsouf'),
('8GNqyUr uREo','296@mail.com','azQnGL0JG8Ly8CkaN28R'),
('1lVU5RB VqiY','297@mail.com','B4KSvhbZqLBJlirM8m4t'),
('wdNzHAx ZKc3','298@mail.com','t2N8okdIz7745rGtCHBg'),
('Imjpez2 bRQ1','299@mail.com','utISxvdBsTLTsNNLFSJf'),
('vr8h8m8 ltfi','300@mail.com','1ugb8livYNDt5Ine8Ysq'),
('LJpInAr X6UT','301@mail.com','LweAPYTAbAMlpqqlcaib'),
('41NXpLh 3eZs','302@mail.com','I0YajivDuX3KNLNZL9o4'),
('3hCQ4kk PB9k','303@mail.com','8vze67tZqEppeUoz2U5n'),
('c4ow5EM ECab','304@mail.com','jTpaPYQSFPdA0xl0lRd2'),
('CpRsRt7 lcZY','305@mail.com','rMqFQAjxKFrorlTmfA3G'),
('3oG0dKP im1i','306@mail.com','694zYCMdDrwGkuCqaU0z'),
('3P6hLIn cL4o','307@mail.com','6lsD2D18Iq5UOxSEIopp'),
('HR07kAe ufmW','308@mail.com','oxPnthJjPiDndXAlgYFO'),
('4bTpqh1 D6iE','309@mail.com','bndnNH4ObZvpQfi8QA63'),
('0QX8WBa KrCG','310@mail.com','pqJ9E9jO6AEtliafGBiQ'),
('0AhNRSg YV2Y','311@mail.com','HEx33IwxuRkII5ugViVe'),
('3z5uV63 3KPX','312@mail.com','wT0clbNWg29RMkcIOoZV'),
('7n60ZX3 inmz','313@mail.com','cKnLK73LRxSU5fbSxXSE'),
('m7gMGRC zuFT','314@mail.com','LDY7sXOiTCekkbBUCFnM'),
('XYuAvhe m2Xe','315@mail.com','Ukt9XGyECT1v99ddKoXu'),
('JMHBlxY Z8qP','316@mail.com','l8hWM1YdjvwXOMhNss41'),
('h6dSVWD 7rLX','317@mail.com','AiC1oMUTFBGO3m9fPnKo'),
('UThaL0s bm1Z','318@mail.com','lWlmQEWZ9PI7qgDsfqcX'),
('9pL8KCm w45k','319@mail.com','MsqqIzArrHlu1m8BIcDW'),
('xEhPnXR u5be','320@mail.com','DRNsIPWDjJtxvax9ABTR'),
('9Fl9uCP Nx59','321@mail.com','pMSOARJYyuIvL17hOrik'),
('ITt0Aa1 yncj','322@mail.com','lPXcNQDSMXUXuNxLLrlL'),
('ugKLvXi bavk','323@mail.com','zaFhBCxL93erzuTIgoxo'),
('dyWC4AV gsdN','324@mail.com','8KU25GwqbPuelllUTIiv'),
('9hdpOMy aTJq','325@mail.com','iV61O07FuxFXJhPNkAsw'),
('Yk35Xfu fU8e','326@mail.com','G3YCgDnwA09oIQqLDtLa'),
('zVi8NJT nEyw','327@mail.com','wlAZURAhdOMdqFtDc2mC'),
('eEP1odN 1yr6','328@mail.com','qOwPeBUF4M8rjV9hj0RQ'),
('bnjwV0h vEXv','329@mail.com','j1Fhk6GvGZZVOrO5TxAa'),
('v8hDkN1 BxzO','330@mail.com','ljkCUScuiZDjv7YFf2wB'),
('uMDNRwJ eIOG','331@mail.com','nDc4KlNB5wTSLMGDi7l7'),
('vXYd1mX Huds','332@mail.com','Y8rEfRCr9h05igH7ePJi'),
('KkelTq3 1axM','333@mail.com','VNWDE58p52ALR7SXaZsG'),
('zp2knI9 nBGh','334@mail.com','MkSe539LpcMwVhK23A7v'),
('8NjWb0a WjiF','335@mail.com','PXWt4wkjuHxqhNlKfS8c'),
('mRn5rNo kU3k','336@mail.com','sDNORueRNTEYrNJJ7f7j'),
('KmENF5A 5OxO','337@mail.com','aaCH1DQb5AuNpSnm47md'),
('T65aKAD S7Ka','338@mail.com','XdEtZOmm4EmMygERN31z'),
('wTFCgRP JARx','339@mail.com','kBpPIfF26py3gGMrNiY6'),
('LEZ3DOR C8j9','340@mail.com','aMSS0UiRqh20HreBD9fJ'),
